Student_Name,attendance_percentage,study_hours_per_week,homework_completion_rate,class_participation,quiz_average,midterm_score,final_score,math_score,science_score,english_score,overall_grade,stress_level,learning_style
Arjun Patel,75.01,7.34,96.03,3,82.08,31.17,84.08,69.71,41.21,44.98,A,4,Auditory
Krishna Patel,63.49,19.26,62.8,2,31.33,48.96,54.94,42.06,49.52,70.73,B,1,Visual
Rohan Patel,81.04,19.5,54.31,2,94.97,97.94,89.18,94.56,78.5,59.65,A,4,Visual
Rahul Patel,97.85,12.13,44.97,5,90.52,58.44,90.31,55.53,83.02,60.14,B,3,Visual
Karthik Patel,80.06,11.45,48.75,2,75.78,78.78,56.39,79.75,74.96,78.14,C,1,Visual
Siddharth Patel,81.48,18.16,98.55,5,48.31,42.76,40.05,58.7,48.6,49.79,C,1,Auditory
Ananya Patel,96.74,1.12,51.28,2,43.95,55.89,58.97,71.2,66.72,85.99,B,5,Visual
Diya Patel,75.76,11.68,98.45,3,46.75,86.21,42.09,72.8,61.31,74.92,C,1,Visual
Isha Patel,99.82,1.47,53.12,1,43.03,62.72,79.18,51.09,69.74,94.9,B,4,Visual
Kavya Patel,57.98,19.4,46.2,2,90.5,92.94,57.21,98.18,92.22,61.89,A,2,Kinesthetic
Pooja Patel,76.85,7.08,42.84,2,90.55,31.19,82.82,86.51,86.55,98.96,B,5,Visual
Sneha Patel,60.65,10.9,58.83,2,34.71,68.36,63.9,96.37,45.04,74.55,D,1,Visual
Aditi Patel,72.67,8.93,46.58,3,49.33,86.29,36.74,93.69,93.42,98.4,D,5,Auditory
Nisha Patel,58.53,17.98,78.79,4,89.74,58.46,43.83,75.87,68.31,41.62,D,3,Visual
Priya Patel,61.13,20.0,46.78,2,78.21,49.25,93.87,95.31,84.63,83.68,B,2,Auditory
Meera Patel,60.54,2.3,88.48,3,73.29,47.47,55.41,45.31,48.4,89.0,A,4,Auditory
Aarav Gupta,66.0,14.91,88.38,1,83.2,55.79,64.34,51.76,80.24,43.19,A,5,Visual
Vivaan Gupta,56.73,7.99,49.99,3,85.77,81.91,49.1,42.71,54.18,74.74,B,1,Kinesthetic
Aditya Gupta,90.47,3.64,82.75,2,68.73,42.49,59.43,59.52,66.3,88.12,D,1,Visual
Arjun Gupta,61.03,8.7,90.03,1,93.95,71.14,55.75,63.32,41.01,73.66,B,4,Visual
Krishna Gupta,70.83,19.96,71.31,3,79.59,31.55,39.54,56.28,49.1,43.83,D,4,Visual
Rohan Gupta,50.8,7.79,55.64,5,36.7,37.04,89.84,89.72,45.52,81.61,B,1,Auditory
Rahul Gupta,55.24,6.27,60.87,2,51.38,44.9,88.94,61.41,54.38,43.64,D,1,Auditory
Karthik Gupta,94.81,17.08,85.04,4,73.76,67.54,71.6,56.86,46.0,89.05,A,5,Kinesthetic
Siddharth Gupta,91.86,17.49,50.53,3,87.58,83.77,96.42,72.56,81.51,42.58,C,4,Kinesthetic
Ananya Gupta,92.05,7.44,53.41,4,93.8,39.29,73.73,48.46,41.74,48.24,C,1,Visual
Diya Gupta,70.57,6.67,41.25,3,99.32,70.44,51.02,88.13,77.06,56.51,A,1,Auditory
Isha Gupta,57.08,13.3,57.93,1,38.26,80.35,31.74,44.47,48.44,78.0,B,1,Kinesthetic
Kavya Gupta,55.39,4.9,36.06,4,35.99,89.33,58.34,99.21,96.71,98.58,C,3,Visual
Pooja Gupta,80.28,10.19,52.47,2,30.42,46.8,57.78,86.33,95.99,47.07,C,2,Visual
Sneha Gupta,91.41,3.69,56.14,4,92.59,39.66,80.7,51.92,53.53,48.56,A,2,Kinesthetic
Aditi Gupta,95.01,6.79,47.88,2,94.21,73.22,53.06,40.33,76.87,62.13,C,5,Visual
Nisha Gupta,64.44,6.65,37.1,1,84.23,55.67,55.04,88.93,41.68,90.17,B,1,Kinesthetic
Priya Gupta,66.05,14.2,66.52,2,42.86,73.5,60.66,82.41,95.91,68.03,B,4,Visual
Meera Gupta,55.04,6.36,90.56,3,99.51,47.21,65.6,83.74,71.38,59.3,C,5,Visual
Aarav Singh,88.72,18.07,53.5,2,72.9,46.37,91.62,86.28,42.59,73.67,B,3,Visual
Vivaan Singh,63.78,19.68,46.58,4,91.03,83.43,46.53,44.44,60.55,55.63,B,3,Visual
Aditya Singh,74.05,2.54,49.95,4,52.68,49.73,79.44,61.51,44.61,64.07,C,2,Auditory
Arjun Singh,96.44,8.56,90.33,3,73.82,96.73,99.25,46.95,63.58,59.96,D,4,Visual
Krishna Singh,87.61,6.73,66.95,2,63.61,81.62,86.03,91.79,80.2,88.25,B,1,Auditory
Rohan Singh,52.64,7.69,39.16,2,82.62,96.26,60.45,77.4,68.19,95.46,B,2,Visual
Rahul Singh,50.41,6.04,79.65,2,95.94,74.97,38.46,59.85,63.02,85.57,C,5,Visual
Karthik Singh,89.37,8.27,40.81,5,80.44,84.78,60.92,43.81,47.15,66.35,A,2,Visual
Siddharth Singh,77.63,3.69,34.22,5,57.59,57.05,63.73,58.66,54.7,70.26,C,3,Auditory
Ananya Singh,86.02,6.32,47.9,4,98.21,99.46,48.39,59.51,46.01,47.5,B,3,Kinesthetic
Diya Singh,57.84,15.21,41.77,4,35.26,48.78,51.31,83.78,88.45,84.81,A,5,Visual
Isha Singh,93.6,7.54,72.35,1,63.16,35.95,62.43,78.25,48.11,75.79,B,4,Visual
Kavya Singh,88.67,4.95,63.92,2,55.34,91.08,55.02,93.23,75.72,94.15,B,5,Auditory
Pooja Singh,94.54,3.06,80.68,4,86.39,68.9,57.21,68.33,60.56,52.04,D,3,Visual
Sneha Singh,67.05,7.61,65.81,1,73.57,58.7,45.96,47.18,53.56,85.58,B,4,Auditory
Aditi Singh,63.79,13.22,59.33,5,36.58,52.23,50.04,82.79,78.37,81.08,C,5,Kinesthetic
Nisha Singh,57.59,5.81,66.84,4,65.72,97.05,37.27,85.65,67.42,55.95,B,3,Auditory
Priya Singh,96.5,9.03,60.41,2,86.12,94.27,72.95,73.68,64.01,80.04,B,1,Kinesthetic
Meera Singh,58.84,19.1,32.6,4,71.41,90.69,45.43,86.26,75.57,95.46,B,5,Auditory
Aarav Kumar,55.97,11.49,77.65,5,53.77,74.8,33.34,69.63,69.48,95.11,B,2,Visual
Vivaan Kumar,59.63,11.11,97.35,1,50.47,46.27,63.77,71.36,58.21,83.18,C,2,Auditory
Aditya Kumar,88.57,8.79,59.54,1,96.69,90.37,94.6,65.65,73.54,42.88,C,3,Kinesthetic
Arjun Kumar,94.48,11.58,59.66,1,39.72,93.58,91.7,41.53,80.17,92.34,B,3,Visual
Krishna Kumar,90.55,19.71,33.2,2,76.26,52.91,89.39,46.47,41.6,79.47,A,5,Visual
Rohan Kumar,78.16,5.82,92.33,4,99.37,74.42,48.6,41.89,67.95,58.63,B,3,Visual
Rahul Kumar,99.69,18.9,95.04,4,41.96,30.05,54.57,78.18,43.46,51.24,C,4,Visual
Karthik Kumar,53.44,3.83,86.92,1,42.28,84.98,81.99,58.86,51.18,46.97,A,2,Visual
Siddharth Kumar,93.36,3.11,37.44,3,77.28,80.16,40.05,70.51,73.63,43.01,C,1,Visual
Ananya Kumar,71.39,13.44,93.02,5,45.31,43.97,77.38,94.45,91.97,85.25,C,3,Auditory
Diya Kumar,72.76,5.77,31.68,4,34.51,47.11,41.82,54.96,92.97,54.15,C,1,Auditory
Isha Kumar,56.38,9.44,61.12,5,57.74,63.49,33.62,64.62,44.2,41.46,C,4,Visual
Kavya Kumar,51.67,14.86,65.04,2,35.36,76.12,37.99,85.33,65.15,63.84,C,4,Visual
Pooja Kumar,65.83,11.16,88.38,4,58.27,81.3,76.85,53.73,74.98,68.96,B,2,Kinesthetic
Sneha Kumar,58.74,1.26,82.56,2,92.39,31.5,67.91,44.62,48.82,50.15,C,3,Auditory
Aditi Kumar,74.17,6.81,85.8,2,61.18,32.72,56.45,57.39,85.93,42.64,A,5,Visual
Nisha Kumar,57.37,2.23,90.75,4,68.39,70.74,80.5,49.67,84.65,51.35,D,2,Auditory
Priya Kumar,56.9,18.6,63.32,5,58.94,45.32,88.8,95.78,94.2,80.75,C,2,Auditory
Meera Kumar,93.85,16.1,84.62,4,45.24,60.52,30.84,88.49,40.51,44.93,A,2,Auditory
Aarav Mehta,96.06,19.69,34.76,1,49.7,31.38,94.29,78.0,53.0,73.3,A,4,Visual
Vivaan Mehta,98.21,17.82,61.12,2,33.15,64.32,87.67,92.29,89.63,48.78,D,3,Visual
Aditya Mehta,84.03,10.03,32.11,2,98.68,30.79,66.24,88.22,80.23,51.74,B,4,Auditory
Arjun Mehta,88.55,17.77,94.07,5,84.46,99.24,45.06,51.19,93.66,63.58,A,5,Kinesthetic
Krishna Mehta,91.79,13.78,97.09,1,36.62,40.69,96.5,93.55,43.43,46.05,B,2,Kinesthetic
Rohan Mehta,82.95,10.97,35.88,3,88.28,86.51,76.33,72.36,75.82,50.39,B,2,Auditory
Rahul Mehta,66.51,8.04,67.28,5,44.88,55.17,31.79,88.45,74.14,60.94,A,4,Kinesthetic
Karthik Mehta,57.82,13.94,52.76,3,50.09,47.85,60.65,93.77,42.14,59.78,B,2,Auditory
Siddharth Mehta,61.86,12.21,53.98,1,52.83,39.41,78.29,59.08,70.81,84.96,B,3,Visual
Ananya Mehta,92.02,12.67,61.55,2,75.05,90.98,83.28,46.6,76.57,44.49,C,2,Kinesthetic
Diya Mehta,84.8,8.6,38.75,1,97.58,52.55,87.17,53.68,51.48,91.63,A,4,Visual
Isha Mehta,72.79,15.05,42.65,1,86.62,81.78,92.42,65.63,56.4,88.97,B,4,Auditory
Kavya Mehta,51.47,2.55,70.42,5,72.3,37.89,87.03,89.08,78.42,85.96,C,1,Visual
Pooja Mehta,63.31,14.8,31.31,2,59.65,98.71,61.83,91.64,68.1,58.56,D,1,Visual
Sneha Mehta,86.44,14.88,71.99,2,85.54,70.48,84.81,40.42,91.48,89.37,C,4,Visual
Aditi Mehta,75.62,10.8,52.32,2,38.84,85.56,58.47,70.64,60.54,50.97,B,2,Auditory
Nisha Mehta,71.78,6.0,88.25,4,48.63,30.48,46.81,65.04,56.0,47.46,A,3,Visual
Priya Mehta,65.68,10.87,72.0,1,89.49,77.17,49.31,53.33,99.09,42.7,A,1,Kinesthetic
Meera Mehta,80.35,3.34,79.57,2,86.97,93.07,91.66,47.19,94.67,96.36,A,5,Auditory
Aarav Iyer,98.32,6.42,38.01,4,62.27,66.63,73.7,60.26,41.74,58.48,A,5,Kinesthetic
Vivaan Iyer,95.06,9.0,48.61,5,75.05,88.78,51.82,96.57,86.24,95.06,C,3,Visual
Aditya Iyer,51.52,13.79,99.77,4,82.43,66.29,59.01,59.39,46.62,56.36,B,4,Auditory
Arjun Iyer,74.05,4.56,60.36,5,33.31,98.15,47.13,71.13,41.65,94.45,C,3,Visual
Krishna Iyer,66.47,4.01,55.12,3,61.92,39.54,68.47,82.18,56.42,94.24,C,4,Auditory
Rohan Iyer,75.53,12.55,91.17,1,63.57,94.91,34.13,61.82,56.16,95.42,C,2,Auditory
Rahul Iyer,80.31,13.91,32.32,4,89.62,71.12,95.47,98.31,89.16,69.77,A,2,Visual
Karthik Iyer,60.0,2.59,67.43,5,43.75,92.39,55.34,97.75,82.64,91.96,D,4,Auditory
Siddharth Iyer,89.08,1.63,44.72,3,41.36,38.78,64.56,55.11,98.9,97.05,C,5,Auditory
Ananya Iyer,73.75,3.8,55.77,2,67.01,93.97,92.12,69.83,82.69,59.48,C,2,Kinesthetic
Diya Iyer,99.6,18.12,43.98,3,75.09,64.47,84.39,58.05,65.1,65.13,B,2,Kinesthetic
Isha Iyer,51.26,13.78,32.65,2,34.89,62.03,66.72,57.09,81.94,83.15,B,3,Visual
Kavya Iyer,59.49,18.5,59.16,5,62.37,69.88,78.82,42.21,99.97,58.02,B,3,Auditory
Pooja Iyer,84.48,13.63,85.24,1,37.64,91.32,35.4,76.57,82.61,85.23,D,2,Visual
Sneha Iyer,84.76,19.34,96.64,3,54.28,88.41,78.73,70.16,85.7,44.43,B,2,Kinesthetic
Aditi Iyer,79.11,9.34,73.67,5,73.06,38.7,48.32,43.09,96.3,71.41,C,4,Visual
Nisha Iyer,98.6,12.38,57.22,5,96.26,30.83,84.33,56.72,46.82,47.34,C,5,Auditory
Priya Iyer,70.77,12.42,83.89,5,64.11,65.9,63.83,94.5,82.29,57.6,B,2,Visual
Meera Iyer,70.85,1.06,65.37,2,47.39,99.32,41.51,54.37,91.05,55.52,C,2,Kinesthetic
Aarav Nair,95.52,1.52,55.73,1,85.17,65.52,76.32,48.69,97.26,90.34,B,2,Auditory
Vivaan Nair,76.92,3.76,42.54,3,47.55,40.14,46.68,69.37,52.66,51.61,C,5,Visual
Aditya Nair,67.69,10.71,85.73,2,93.91,60.42,99.65,99.14,70.24,88.51,B,5,Auditory
Arjun Nair,85.95,9.18,65.03,1,46.88,55.8,83.33,54.52,80.83,87.64,A,4,Auditory
Krishna Nair,80.98,11.26,97.47,1,67.5,96.85,62.79,80.33,54.85,69.93,A,5,Visual
Rohan Nair,65.32,16.21,86.13,2,55.73,96.5,40.16,85.7,76.03,54.03,A,5,Visual
Rahul Nair,64.9,16.62,59.4,3,46.3,35.04,93.14,54.26,55.45,53.61,C,1,Kinesthetic
Karthik Nair,69.78,19.56,81.86,2,96.83,46.35,65.71,83.69,60.01,67.9,C,4,Visual
Siddharth Nair,53.58,11.59,61.74,1,76.03,62.06,67.63,62.07,66.49,40.53,B,2,Kinesthetic
Ananya Nair,97.13,7.6,35.59,3,53.55,69.84,66.61,77.94,71.75,71.88,C,4,Auditory
Diya Nair,59.15,6.85,66.17,5,73.61,43.23,59.23,78.01,66.96,97.17,C,5,Visual
Isha Nair,59.69,7.47,90.6,5,33.75,70.96,69.38,72.15,69.59,49.28,A,1,Kinesthetic
Kavya Nair,82.35,7.15,89.88,4,50.66,44.26,80.97,45.42,57.92,74.4,C,2,Visual
Pooja Nair,86.21,8.47,70.25,4,45.29,59.47,64.44,90.12,49.54,97.71,A,4,Auditory
Sneha Nair,86.84,2.42,56.6,5,54.42,66.64,69.65,59.25,42.84,91.63,C,4,Visual
Aditi Nair,68.75,13.04,30.71,2,63.19,98.27,57.69,51.19,51.76,91.02,A,2,Visual
Nisha Nair,93.67,11.79,51.8,4,46.0,34.81,66.05,42.45,74.92,89.31,A,3,Visual
Priya Nair,77.2,9.78,99.29,4,68.02,94.83,37.36,75.45,87.17,58.54,D,1,Visual
Meera Nair,71.93,2.54,80.85,3,87.16,39.54,62.47,80.65,50.15,93.44,C,5,Kinesthetic
Aarav Choudhary,90.52,2.77,80.23,2,56.11,36.78,68.54,41.0,46.51,96.48,A,2,Auditory
Vivaan Choudhary,62.18,11.36,83.28,2,94.68,50.6,99.84,70.73,84.96,69.75,B,2,Visual
Aditya Choudhary,93.01,1.7,73.41,2,68.66,69.44,85.23,53.59,58.31,61.27,B,1,Visual
Arjun Choudhary,76.94,14.77,71.01,3,34.08,59.12,57.58,78.71,97.09,64.85,A,5,Visual
Krishna Choudhary,95.0,19.88,61.75,4,50.9,66.57,87.51,50.46,82.86,60.05,B,4,Kinesthetic
Rohan Choudhary,60.08,12.35,61.08,3,64.37,84.52,86.78,81.46,59.61,52.75,D,3,Auditory
Rahul Choudhary,96.8,14.75,90.96,5,50.59,88.15,56.02,63.2,57.37,77.11,C,2,Visual
Karthik Choudhary,84.39,9.34,57.54,1,57.1,97.36,98.6,96.2,71.42,73.76,B,3,Auditory
Siddharth Choudhary,80.92,13.68,88.82,5,79.34,94.83,61.86,48.25,44.75,67.76,C,2,Auditory
Ananya Choudhary,71.1,13.38,88.64,5,85.9,43.39,96.12,60.46,47.06,45.75,D,3,Visual
Diya Choudhary,97.82,16.66,83.96,4,47.82,80.13,55.35,46.81,50.55,87.81,B,1,Auditory
Isha Choudhary,72.2,14.52,32.63,4,76.99,82.47,94.15,95.48,86.48,50.5,D,1,Kinesthetic
Kavya Choudhary,74.93,15.23,40.36,1,39.62,63.5,31.11,92.64,70.83,46.87,A,4,Visual
Pooja Choudhary,89.07,11.58,52.03,4,47.22,91.98,56.0,55.48,40.63,77.38,D,2,Auditory
Sneha Choudhary,64.24,10.21,89.33,2,38.75,83.08,68.11,79.6,80.41,63.92,C,4,Visual
Aditi Choudhary,64.57,9.72,91.13,5,82.62,58.14,97.38,89.03,65.42,43.59,B,5,Visual
Nisha Choudhary,88.76,8.45,32.91,1,41.15,59.54,48.54,73.31,70.65,61.33,A,5,Auditory
Priya Choudhary,56.43,6.05,52.73,1,74.31,56.18,66.7,71.78,52.85,86.31,B,2,Visual
Meera Choudhary,91.15,1.63,89.53,4,85.4,65.44,68.68,54.51,73.11,76.91,D,3,Auditory
Aarav Reddy,81.26,13.75,47.48,1,77.29,81.23,53.78,45.59,98.75,61.77,A,4,Visual
Vivaan Reddy,76.95,18.12,98.32,1,65.45,52.25,38.05,93.83,44.41,51.51,A,3,Visual
Aditya Reddy,61.46,18.68,64.25,2,68.86,45.97,85.87,94.03,57.04,77.91,B,2,Auditory
Arjun Reddy,89.32,12.03,95.61,5,72.54,32.38,76.62,77.99,54.58,93.25,A,4,Auditory
Krishna Reddy,90.25,2.79,60.02,1,63.0,85.79,42.7,60.34,54.91,78.78,A,1,Auditory
Rohan Reddy,74.15,17.69,52.67,1,64.63,55.36,49.49,60.95,62.72,88.77,C,3,Kinesthetic
Rahul Reddy,69.46,15.21,55.37,1,81.18,82.76,43.52,83.56,89.09,71.29,D,2,Kinesthetic
Karthik Reddy,62.31,5.78,91.9,3,66.52,37.82,47.57,93.83,94.77,83.08,C,4,Kinesthetic
Siddharth Reddy,87.71,16.27,53.15,2,67.72,67.25,55.74,93.23,52.13,93.77,B,3,Visual
Ananya Reddy,81.97,9.97,76.85,5,75.42,57.89,60.14,86.79,72.58,86.39,A,1,Auditory
Diya Reddy,60.33,17.86,62.89,3,77.37,63.21,93.96,78.52,78.21,94.59,B,2,Visual
Isha Reddy,89.72,5.7,95.92,1,63.96,94.77,58.64,45.05,71.31,65.87,A,4,Kinesthetic
Kavya Reddy,94.11,16.22,41.16,4,45.29,34.55,64.99,49.7,66.04,94.25,A,5,Visual
Pooja Reddy,52.96,14.53,60.01,1,90.82,59.39,99.23,93.91,51.52,77.29,B,3,Visual
Sneha Reddy,88.62,1.27,38.72,2,78.85,88.01,33.95,76.39,69.29,92.2,A,4,Visual
Aditi Reddy,92.64,11.7,70.47,1,46.66,73.27,47.59,40.55,64.07,42.36,C,2,Auditory
Nisha Reddy,99.58,14.6,58.2,4,41.65,98.8,92.92,46.09,87.73,79.47,A,3,Auditory
Priya Reddy,61.88,3.97,34.27,3,54.63,82.08,39.03,79.81,85.82,90.88,B,3,Visual
Meera Reddy,68.55,11.11,89.49,2,66.47,36.66,68.25,40.3,48.04,50.45,C,4,Auditory
Aarav Sharma,98.31,6.78,56.29,3,97.24,56.46,69.78,49.65,45.31,79.71,C,3,Kinesthetic
Vivaan Sharma,54.7,14.23,64.55,4,96.55,53.03,91.96,72.92,94.49,89.5,B,3,Auditory
Aditya Sharma,76.19,11.26,58.53,5,59.65,64.35,95.54,81.51,72.13,57.28,A,2,Visual
Arjun Sharma,75.34,12.81,64.21,3,47.4,73.5,66.7,79.12,91.47,64.31,C,4,Kinesthetic
Krishna Sharma,80.33,2.38,31.14,3,77.84,47.63,73.08,53.46,43.49,74.17,B,1,Visual
Rohan Sharma,66.54,3.62,87.08,1,60.12,74.0,58.4,82.73,71.59,71.15,C,1,Kinesthetic
Rahul Sharma,96.3,11.49,53.26,2,31.29,48.47,38.14,54.23,72.37,42.35,C,2,Auditory
Karthik Sharma,63.5,4.44,80.71,2,36.71,38.7,95.32,59.52,91.64,45.92,D,5,Kinesthetic
Siddharth Sharma,82.48,10.48,34.54,5,57.41,65.88,43.37,84.79,45.86,46.03,A,5,Auditory
Ananya Sharma,74.8,14.11,66.67,5,75.69,64.17,63.59,78.98,54.43,55.74,B,5,Auditory
Diya Sharma,63.33,16.39,93.62,3,35.98,58.46,68.82,90.95,64.39,54.75,C,3,Visual
Isha Sharma,59.44,3.72,57.88,5,91.18,67.22,53.7,79.46,91.95,84.53,C,5,Visual
Kavya Sharma,97.83,15.1,43.81,2,73.56,65.0,82.9,74.1,96.33,74.36,B,5,Auditory
Pooja Sharma,78.06,7.9,36.94,2,47.17,70.93,79.11,45.62,99.56,85.84,C,1,Auditory
Sneha Sharma,80.21,13.9,90.14,3,70.68,97.69,45.48,62.06,97.55,44.19,C,2,Visual
Aditi Sharma,89.14,3.76,46.72,3,84.62,79.45,61.92,55.91,40.36,69.11,B,1,Visual
Nisha Sharma,54.06,10.79,98.25,4,63.53,90.56,92.06,54.64,42.86,59.43,D,3,Kinesthetic
Priya Sharma,85.69,16.91,47.35,2,53.55,64.82,70.63,98.38,48.86,91.0,C,5,Auditory
Meera Sharma,58.26,3.02,63.67,5,93.72,78.47,46.31,63.59,60.93,82.47,C,5,Auditory
Aarav Patel,87.02,16.73,62.06,4,61.91,34.54,47.89,93.52,89.8,92.16,B,4,Kinesthetic
Vivaan Patel,57.07,9.6,34.34,1,69.32,86.95,64.15,77.87,93.56,42.79,C,5,Auditory
Aditya Patel,91.62,16.64,67.23,5,85.69,96.23,88.8,87.69,51.21,83.25,B,2,Visual
Arjun Patel,84.05,19.21,77.08,1,63.15,98.17,45.75,70.16,77.18,72.4,C,3,Auditory
Krishna Patel,69.29,4.03,81.95,4,40.27,42.95,41.71,74.61,95.04,89.5,B,2,Kinesthetic
Rohan Patel,67.94,13.82,66.58,2,73.68,97.52,54.1,69.55,67.82,70.43,C,2,Visual
Rahul Patel,57.45,5.47,86.88,2,38.83,67.97,34.15,51.71,46.21,72.41,A,2,Auditory
Karthik Patel,95.2,3.58,82.65,1,52.53,89.79,92.56,83.35,67.47,43.11,B,5,Visual
Siddharth Patel,55.93,12.93,43.58,2,37.98,82.49,63.71,56.85,62.55,80.11,B,5,Visual
Ananya Patel,73.6,3.05,58.11,3,94.64,93.44,92.59,41.46,74.66,56.39,A,2,Visual
Diya Patel,61.83,9.84,39.98,4,35.1,73.04,72.13,78.73,66.32,41.18,B,2,Visual
Isha Patel,99.82,13.08,39.34,5,70.64,52.86,82.55,50.63,41.04,43.99,B,1,Auditory
Kavya Patel,79.29,10.49,79.85,4,97.96,83.22,44.98,96.43,99.64,97.44,A,1,Auditory
Pooja Patel,57.48,14.24,67.13,1,51.74,50.13,33.7,97.24,72.61,60.76,A,3,Visual
Sneha Patel,83.38,16.23,72.07,1,79.68,48.65,63.59,94.89,68.42,92.08,D,4,Visual
Aditi Patel,99.58,17.57,81.25,2,67.88,41.97,75.59,62.21,97.28,97.58,B,5,Auditory
Nisha Patel,80.25,11.64,49.41,1,48.85,35.41,41.3,40.93,49.35,96.6,C,4,Auditory
Priya Patel,72.87,6.26,58.1,5,84.92,86.33,38.24,95.7,51.35,92.9,B,5,Auditory
Meera Patel,64.66,10.68,72.48,4,32.33,51.15,79.15,65.69,88.48,93.69,C,5,Auditory
Aarav Gupta,54.61,8.37,36.76,5,47.85,57.88,37.65,98.0,55.65,57.34,B,3,Kinesthetic
